127.0.0.1 - - [01/Oct/2021:15:33:54 +0700] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:33:57 +0700] "GET /TrainingGESO/pages/images/Canfoco.jpg HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:33:57 +0700] "GET /TrainingGESO/pages/scripts/jquery-1.8.1.js HTTP/1.1" 200 269300
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:33:58 +0700] "GET /TrainingGESO/pages/scripts/jquery.js HTTP/1.1" 200 20977
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:33:58 +0700] "GET /TrainingGESO/pages/images/expandbtn.gif HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:33:57 +0700] "GET /TrainingGESO/pages/images/silver_triangle.gif HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:33:57 +0700] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:33:59 +0700] "GET /TrainingGESO/pages/images/collapsebtn.gif HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/scripts/dropdowncontent.js HTTP/1.1" 200 6347
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/css/mybutton.css HTTP/1.1" 200 2857
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/scripts/jquery.autocomplete.js HTTP/1.1" 200 21858
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/scripts/ui/jquery.ui.datepicker.js HTTP/1.1" 200 76375
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/css/impression.css HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/scripts/jquery.min.1.7.js HTTP/1.1" 200 93868
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:01 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:04 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/Erp/donhangnew.jsp HTTP/1.1" 200 51307
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/scripts/cool_DHTML_tootip.js HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/images/Back30.png HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/images/Save30.png HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/images/vitriluu.png HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/images/1455966997_save.png HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/scripts/ajax.js HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/images/exit_1.png HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:06 +0700] "GET /TrainingGESO/pages/images/arrow2.gif HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:34:10 +0700] "GET /TrainingGESO/pages/Erp/sanphamAjax.jsp?q=1&limit=150&timestamp=1633077249438 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:35:28 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:35:28 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:35:28 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:35:29 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:35:29 +0700] "GET /TrainingGESO/pages/Erp/donhangnew.jsp HTTP/1.1" 200 51327
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:35:29 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:35:31 +0700] "GET /TrainingGESO/pages/Erp/sanphamAjax.jsp?q=1&limit=150&timestamp=1633077331527 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:11 +0700] "GET /TrainingGESO/HocSinhListSvl?userId=100002 HTTP/1.1" 500 3245
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/ChuyenkhoListSvl_hieu?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/Erp/ChuyenkhoList_hieu.jsp HTTP/1.1" 200 10474
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/css/datepicker.css HTTP/1.1" 200 6210
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/scripts/phanTrang.js HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/scripts/datepicker.js HTTP/1.1" 200 74592
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/scripts/Timepicker/jquery.min.js HTTP/1.1" 200 85925
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/images/add32.png HTTP/1.1" 200 4352
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/images/convert.gif HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/images/first.gif HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/images/prev_d.gif HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/images/next_d.gif HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/scripts/Timepicker/jquery-ui.min.js HTTP/1.1" 200 201658
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/images/last.gif HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:12 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:18 +0700] "GET /TrainingGESO/DonBanHang_ThuSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:18 +0700] "GET /TrainingGESO/pages/Erp/DonBanHang_Thu.jsp HTTP/1.1" 200 11071
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:18 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:18 +0700] "GET /TrainingGESO/pages/images/timkiem_e.png HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:18 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:20 +0700] "GET /TrainingGESO/SanPhamSvl_Thu?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:20 +0700] "GET /TrainingGESO/pages/Erp/SanPhamList_Thu.jsp HTTP/1.1" 200 19061
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:20 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:20 +0700] "GET /TrainingGESO/pages/images/Display20.png HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:20 +0700] "GET /TrainingGESO/pages/images/edit32.png HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:20 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:20 +0700] "GET /TrainingGESO/pages/images/DeleteRed_32.png HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:39 +0700] "GET /TrainingGESO/DonbanhangListSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:39 +0700] "GET /TrainingGESO/pages/Erp/DonbanhangList.jsp HTTP/1.1" 200 11004
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:39 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:39 +0700] "GET /TrainingGESO/pages/images/pdf.jpg HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:39 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:39 +0700] "GET /TrainingGESO/DonmuahangListSvl?userId=100002 HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:45 +0700] "GET /TrainingGESO/DonbanhangListSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:45 +0700] "GET /TrainingGESO/pages/Erp/DonbanhangList.jsp HTTP/1.1" 200 11004
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:45 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:45 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:49 +0700] "POST /TrainingGESO/DonbanhangListSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:49 +0700] "GET /TrainingGESO/pages/Erp/Donbanhangnew.jsp HTTP/1.1" 200 34279
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:49 +0700] "GET /TrainingGESO/pages/images/Back_undo.png HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:49 +0700] "GET /TrainingGESO/pages/scripts/erp-spList.js HTTP/1.1" 200 10083
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:37:54 +0700] "POST /TrainingGESO/pages/Erp/SanPhamChuyenKhoErpList_tan.jsp?donmuahang=1&letters=1 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:08 +0700] "GET /TrainingGESO/DonbanhangListSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:08 +0700] "GET /TrainingGESO/pages/Erp/DonbanhangList.jsp HTTP/1.1" 200 11004
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:08 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:08 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:08 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:19 +0700] "GET /TrainingGESO/SanphamNhom2ListSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:19 +0700] "GET /TrainingGESO/pages/Erp/SanphamListNhom2.jsp HTTP/1.1" 200 12416
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:19 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:19 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:21 +0700] "GET /TrainingGESO/DonbanhangListThoSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:21 +0700] "GET /TrainingGESO/pages/Erp/DonbanhangListTho.jsp HTTP/1.1" 200 9910
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:21 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:21 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:24 +0700] "POST /TrainingGESO/DonbanhangListThoSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:24 +0700] "GET /TrainingGESO/pages/Erp/DonbanhangTho.jsp HTTP/1.1" 200 11761
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:28 +0700] "GET /TrainingGESO/DonHangListSvl_Vy?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:28 +0700] "GET /TrainingGESO/pages/Erp/DonHangList_Vy.jsp HTTP/1.1" 200 11018
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:28 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:28 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:28 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:29 +0700] "POST /TrainingGESO/DonHangListSvl_Vy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:29 +0700] "GET /TrainingGESO/pages/Erp/DonHangNew_Vy.jsp HTTP/1.1" 200 40971
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:29 +0700] "GET /TrainingGESO/pages/scripts/erp-SanPhamList.js HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:38:35 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=1 HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:39:09 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=4 HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:39:13 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=5 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:39:18 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=12 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:39:20 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=2 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:39:23 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=3 HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:28 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=6 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:31 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=7 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:33 +0700] "POST /TrainingGESO/pages/Erp/SanPhamList_Vy.jsp?donHangMoi=1&letters=8 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:41 +0700] "GET /TrainingGESO/DonBanHang_ThuSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:41 +0700] "GET /TrainingGESO/pages/Erp/DonBanHang_Thu.jsp HTTP/1.1" 200 11071
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:41 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:41 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:41 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:43 +0700] "POST /TrainingGESO/DonBanHang_ThuSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:43 +0700] "GET /TrainingGESO/pages/Erp/DonHangNew_Thu.jsp HTTP/1.1" 200 42155
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:43 +0700] "GET /TrainingGESO/pages/scripts/erp_SanPhamList_Thu.js HTTP/1.1" 200 10091
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:45 +0700] "POST /TrainingGESO/pages/Erp/SanPhamListSript_Thu.jsp?donHangMoi=1&letters=1 HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:52:57 +0700] "POST /TrainingGESO/pages/Erp/SanPhamListSript_Thu.jsp?donHangMoi=1&letters=4 HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:08 +0700] "GET /TrainingGESO/SanPhamSvl_Thu?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:08 +0700] "GET /TrainingGESO/pages/Erp/SanPhamList_Thu.jsp HTTP/1.1" 200 19061
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:08 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:08 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:08 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:10 +0700] "POST /TrainingGESO/SanPhamSvl_Thu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:10 +0700] "GET /TrainingGESO/pages/Erp/SanPhamNew_Thu.jsp HTTP/1.1" 200 8499
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:11 +0700] "GET /TrainingGESO/pages/css/spinner.gif HTTP/1.1" 200 1849
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:15 +0700] "GET /TrainingGESO/DonBanHang_TrinhSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:15 +0700] "GET /TrainingGESO/pages/Erp/DonBanHangList_Trinh.jsp HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:15 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:15 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:15 +0700] "GET /TrainingGESO/pages/scripts/lang/en.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:17 +0700] "POST /TrainingGESO/DonBanHang_TrinhSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:15:53:17 +0700] "GET /TrainingGESO/pages/Erp/DonBanHangNew_Trinh.jsp HTTP/1.1" 200 41280
